#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:sequences_L_ex_lab_cells_2026_05_27v7" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:sequences_L_ex_lab_cells_2026_05_27v7" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:sequences_L_ex_lab_cells_2026_05_27v7" name="popSize" spec="beast.core.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:sequences_L_ex_lab_cells_2026_05_27v7" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:sequences_L_ex_lab_cells_2026_05_27v7" spec="beast.evolution.tree.Tree">
#                    <trait id="dateTrait.t:sequences_L_ex_lab_cells_2026_05_27v7" spec="beast.evolution.tree.TraitSet" traitname="date-backward" value="PP_006WBLH.2|Homo_sapiens|Switzerland|2026-04-05|0.109514=0.109514,PP_006XDHK.5|Homo_sapiens|Canada|2026-05-15|0.000000=0.000000,PP_006XDJH.5|Homo_sapiens|Canada|2026-05-15|0.000000=0.000000,MN258158.1|Homo_sapiens|Argentina|2018-11-09|7.512663=7.512663,MN258159.1|Homo_sapiens|Argentina|2018-08-19|7.737166=7.737166,PV796318.1|Homo_sapiens|Chile|2024-06-27|1.880903=1.880903,PV808469.1|Homo_sapiens|Chile|2024-06-27|1.880903=1.880903,MN258160.1|Homo_sapiens|Argentina|2018-09-04|7.693361=7.693361,OR405523.1|Homo_sapiens|Switzerland|2016-07-01|9.869952=9.869952,KY659431.1|Homo_sapiens|Switzerland|2016-12-26|9.382615=9.382615">
#                        <taxa id="TaxonSet.sequences_L_ex_lab_cells_2026_05_27v7" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.sequences_L_ex_lab_cells_2026_05_27v7"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:sequences_L_ex_lab_cells_2026_05_27v7" name="distribution">
#            <parameter id="clockRate.c:sequences_L_ex_lab_cells_2026_05_27v7" name="x" spec="beast.core.parameter.RealParameter">0.001</parameter>
#            <Uniform id="Uniform.4" lower="1.0E-12" name="distr" upper="0.01"/>
#        </prior>
#        <prior id="FrequenciesPrior.s:sequences_L_ex_lab_cells_2026_05_27v7" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:sequences_L_ex_lab_cells_2026_05_27v7" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.3" name="distr"/>
#        </prior>
#        <prior id="KappaPrior.s:sequences_L_ex_lab_cells_2026_05_27v7" name="distribution">
#            <parameter id="kappa.s:sequences_L_ex_lab_cells_2026_05_27v7" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:sequences_L_ex_lab_cells_2026_05_27v7" name="distribution" x="@popSize.t:sequences_L_ex_lab_cells_2026_05_27v7">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#        <distribution id="Chile2024.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:sequences_L_ex_lab_cells_2026_05_27v7">
#            <taxonset id="Chile2024" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="MN258158.1|Homo_sapiens|Argentina|2018-11-09|7.512663" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="MN258159.1|Homo_sapiens|Argentina|2018-08-19|7.737166" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="PV796318.1|Homo_sapiens|Chile|2024-06-27|1.880903" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="PP_006WBLH.2|Homo_sapiens|Switzerland|2026-04-05|0.109514" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="PP_006XDHK.5|Homo_sapiens|Canada|2026-05-15|0.000000" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="PP_006XDJH.5|Homo_sapiens|Canada|2026-05-15|0.000000" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#        </distribution>
#        <distribution id="Hondius2026.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:sequences_L_ex_lab_cells_2026_05_27v7">
#            <taxonset id="Hondius2026" spec="beast.evolution.alignment.TaxonSet">
#                <taxon idref="PP_006WBLH.2|Homo_sapiens|Switzerland|2026-04-05|0.109514"/>
#                <taxon idref="PP_006XDHK.5|Homo_sapiens|Canada|2026-05-15|0.000000"/>
#                <taxon idref="PP_006XDJH.5|Homo_sapiens|Canada|2026-05-15|0.000000"/>
#                <taxon idref="MN258158.1|Homo_sapiens|Argentina|2018-11-09|7.512663"/>
#                <taxon idref="MN258159.1|Homo_sapiens|Argentina|2018-08-19|7.737166"/>
#            </taxonset>
#        </distribution>
#        <distribution id="OR405523.prior" spec="beast.math.distributions.MRCAPrior" tipsonly="true" tree="@Tree.t:sequences_L_ex_lab_cells_2026_05_27v7">
#            <taxonset id="OR405523" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="OR405523.1|Homo_sapiens|Switzerland|2016-07-01|9.869952" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.6" lower="9.368925" name="distr" upper="10.368241"/>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@sequences_L_ex_lab_cells_2026_05_27v7" id="treeLikelihood.sequences_L_ex_lab_cells_2026_05_27v7" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:sequences_L_ex_lab_cells_2026_05_27v7">
#            <siteModel id="SiteModel.s:sequences_L_ex_lab_cells_2026_05_27v7" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:sequences_L_ex_lab_cells_2026_05_27v7" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:sequences_L_ex_lab_cells_2026_05_27v7" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:sequences_L_ex_lab_cells_2026_05_27v7" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:sequences_L_ex_lab_cells_2026_05_27v7" kappa="@kappa.s:sequences_L_ex_lab_cells_2026_05_27v7" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:sequences_L_ex_lab_cells_2026_05_27v7" id="estimatedFreqs.s:sequences_L_ex_lab_cells_2026_05_27v7" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:sequences_L_ex_lab_cells_2026_05_27v7" id="StrictClock.c:sequences_L_ex_lab_cells_2026_05_27v7" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.sequences_L_ex_lab_cells_2026_05_27v7	TreeHeight	clockRate	kappa	popSize	CoalescentConstant	monophyletic(Hondius2026)	mrca.date-backward(Hondius2026)	monophyletic(Chile2024)	mrca.date-backward(Chile2024)	logP(mrca(OR405523.prior))	height(OR405523.1|Homo_sapiens|Switzerland|2016-07-01|9.869952)	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-15107.08144321253	-15104.27074538175	-2.8106978307811925	-15104.27074538175	9.902797447105497	0.001	2.0	0.3	-6.75516502125566	0	8.356654109693523	0	8.356654109693523	6.842340347272863E-4	9.869952	0.25	0.25	0.25	0.25
3000	-11814.51435862241	-11783.49283005917	-31.02152856324059	-11783.49283005917	23.284768789319287	0.0011938660451663284	7.381027052623058	3.666313354241158	-30.86789691368648	1	9.552600724801481	0	13.65379458340281	6.842340347272863E-4	10.017233308782615	0.25	0.23321963470756912	0.25205236013703375	0.2647280051553971
6000	-11755.319256993242	-11721.948893659408	-33.37036333383384	-11721.948893659408	28.56866314854019	9.127878377546039E-4	16.98903903113394	9.617862885704351	-30.663287019836915	1	10.91855366960706	0	15.997317937559544	6.842340347272863E-4	10.047069469222173	0.25721190667910315	0.226007728028466	0.25205236013703375	0.2647280051553971
9000	-11728.076791122485	-11693.7387067341	-34.33808438838351	-11693.7387067341	26.733130212508822	0.0010032066126842772	22.17110439833335	14.568724513040065	-30.6146158021624	1	11.358769232533302	0	17.09858388728559	6.842340347272863E-4	9.670021800868291	0.25721190667910315	0.22084965230062686	0.2484372497504989	0.27350119126977107
12000	-11716.80473781256	-11678.824906267233	-37.97983154532664	-11678.824906267233	32.63825024403052	6.91070087411258E-4	22.17110439833335	10.358628936192408	-34.59742014747227	1	14.386146789534953	0	20.477749075487864	6.842340347272863E-4	9.753285471966008	0.26444205928242626	0.22084965230062686	0.24343692480270712	0.27127136361423976
15000	-11685.126134274347	-11648.677329401376	-36.44880487297176	-11648.677329401376	31.017554371371983	8.409991390130064E-4	21.80782942610818	13.362712319416412	-32.850369778538216	1	13.279409271041033	0	20.788521320143758	6.842340347272863E-4	10.14031864132063	0.2762732508103281	0.21742687694032262	0.2371643933373579	0.26913547891199135
18000	-11689.647281609723	-11647.786608953731	-41.86067265599176	-11647.786608953731	45.22029332255646	4.7491948690963823E-4	21.80782942610818	13.511716791708563	-38.251148507456975	1	17.429276617272794	0	26.279409678526065	6.842340347272863E-4	9.884704847443846	0.2762732508103281	0.2147262583754251	0.2398650119022554	0.26913547891199135
21000	-11685.444498614066	-11646.492381190708	-38.952117423357706	-11646.492381190708	38.59789578927253	5.799149850825678E-4	19.232410677590007	13.214130548357872	-35.65295922153474	1	14.376289508979774	0	25.35771878599002	6.842340347272863E-4	10.340232576178662	0.2762732508103281	0.2147262583754251	0.2398650119022554	0.26913547891199135
24000	-11647.287696783555	-11607.45309426318	-39.834602520372755	-11607.45309426318	40.997867463932884	5.883258133529579E-4	22.29534085442783	22.698919286295	-35.654590017973234	1	16.15534545494156	0	25.258417691128543	6.842340347272863E-4	10.183038785758557	0.28913090190332014	0.20587419457417502	0.2336663604998624	0.2713285430226424
27000	-11639.393058689751	-11602.00563509509	-37.38742359466064	-11602.00563509509	38.67018694256975	6.711222697359047E-4	18.333384122607143	12.015333582601567	-34.29045629904361	1	13.563800275981999	0	21.98498258129446	6.842340347272863E-4	9.945658214732827	0.29290913347350456	0.2020959630039906	0.2336663604998624	0.2713285430226424
30000	-11639.57806864993	-11603.439304519343	-36.13876413058637	-11603.439304519343	31.057512191498216	8.03549978667983E-4	21.24726400338478	18.374675021922535	-32.28235124793967	1	12.073678676064299	0	18.078092252637305	6.842340347272863E-4	9.387969471843006	0.29290913347350456	0.2020959630039906	0.2336663604998624	0.2713285430226424
33000	-11625.400598517337	-11585.848081383136	-39.5525171342012	-11585.848081383136	40.205203042263456	6.264916271786501E-4	22.367544691830478	19.07974973856096	-35.538603174874915	1	14.976194183847811	0	22.39321010238359	6.842340347272863E-4	9.855867140585325	0.2987138818975886	0.19201781360247072	0.23793976147729823	0.2713285430226424
36000	-11620.552876636815	-11580.697020533311	-39.855856103504614	-11580.697020533311	43.040974177168685	5.588502053077265E-4	22.367544691830478	19.3499470089393	-35.827880012768894	1	15.044416875724899	0	26.304621773910032	6.842340347272863E-4	10.308126015280603	0.2987138818975886	0.19201781360247072	0.23793976147729823	0.2713285430226424
39000	-11611.926737098196	-11572.590962593304	-39.335774504892285	-11572.590962593304	41.394619757605824	5.518691210595481E-4	16.493447345492584	23.097887017483814	-35.81662614356652	1	14.31652620605435	0	25.43314468277394	6.842340347272863E-4	10.075811057163886	0.300107156242437	0.18547288060598865	0.23793976147729823	0.27648020167427606
42000	-11582.14185607851	-11544.620579456687	-37.52127662182273	-11544.620579456687	35.394274849794314	7.809772159627627E-4	17.371741463826616	21.115140576262938	-33.979269986693986	1	13.522237519917777	0	21.99062530441953	6.842340347272863E-4	9.833684210990839	0.300107156242437	0.17428844648085892	0.21867016859519897	0.3069342286815051
45000	-11570.40850379844	-11532.994415186682	-37.41408861175827	-11532.994415186682	35.06301120210066	6.441546085940538E-4	17.371741463826616	13.737017256560522	-34.30197814408992	1	13.870859247612934	0	21.30180698405721	6.842340347272863E-4	9.378892311133614	0.3209372466117068	0.16875457499453927	0.2201298276389602	0.29017835075479376
48000	-11575.381928811203	-11536.547094171116	-38.834834640087536	-11536.547094171116	35.94850351326016	6.345762439410973E-4	21.777694067311096	19.350141626253944	-34.8693929876061	1	14.657264802511216	0	23.54646057238762	6.842340347272863E-4	10.09015390375924	0.3209372466117068	0.16875457499453927	0.2201298276389602	0.29017835075479376
51000	-11572.048831604317	-11527.15892831038	-44.889903293937415	-11527.15892831038	47.52704500570702	4.4915077669957395E-4	21.777694067311096	52.51784830089254	-39.92600830063352	1	19.799013992690295	0	31.194943129788943	6.842340347272863E-4	10.056242968751086	0.3204507836913182	0.16875457499453927	0.20228731535356542	0.3085073259605772
54000	-11571.738641079715	-11527.677647065995	-44.06099401372078	-11527.677647065995	54.89309267293923	4.171612956828957E-4	21.777694067311096	19.3352095511601	-40.09632433695526	1	20.12666542391688	0	33.26696178887842	6.842340347272863E-4	10.301178767199893	0.32839940379143756	0.16875457499453927	0.20228731535356542	0.3005587058604578
57000	-11571.516161242418	-11528.264689443462	-43.25147179895544	-11528.264689443462	56.88182476251965	4.1801780974241404E-4	20.732650556741163	29.14751187810165	-38.990254521438004	1	20.97523976722509	0	32.995240400317655	6.842340347272863E-4	9.637218213060873	0.32839940379143756	0.16875457499453927	0.20228731535356542	0.3005587058604578
60000	-11565.737216538713	-11523.827471951063	-41.909744587651275	-11523.827471951063	49.32818298456596	4.5614591537895333E-4	20.732650556741163	19.171244885754923	-38.067485369259636	1	17.729184987698346	0	29.557871276122302	6.842340347272863E-4	10.084931697693696	0.32839940379143756	0.16112634696639516	0.20228731535356542	0.3081869338886019
63000	-11568.510485409482	-11524.970035603574	-43.54044980590959	-11524.970035603574	57.03875274674768	3.8775632378571905E-4	20.732650556741163	27.328378333241456	-39.3436764200627	1	18.192139071598838	0	35.0443530217435	6.842340347272863E-4	9.948132257178294	0.32839940379143756	0.16112634696639516	0.20228731535356542	0.3081869338886019
66000	-11564.819718244575	-11524.44737728824	-40.37234095633502	-11524.44737728824	46.02449678874355	5.368344811147652E-4	20.732650556741163	19.33893341279888	-36.521372892941955	1	15.423075966571295	0	26.934736934219	6.842340347272863E-4	10.010714330566852	0.32839940379143756	0.16112634696639516	0.20867443442017397	0.30179981482199336
69000	-11566.27418094326	-11522.914686920105	-43.359494023153445	-11522.914686920105	56.31806153027307	4.433403004871482E-4	20.732650556741163	27.921918888996085	-39.14123429532983	1	18.007698701157373	0	34.66083776682016	6.842340347272863E-4	9.724008463413671	0.32839940379143756	0.16112634696639516	0.20867443442017397	0.30179981482199336
72000	-11570.346740217432	-11525.28935624609	-45.057383971341444	-11525.28935624609	56.64207118315338	3.8280926133392554E-4	25.204725971515366	40.16842476549609	-40.01394935934859	1	21.537383901794843	0	38.5799331923976	6.842340347272863E-4	9.920444182534476	0.32839940379143756	0.16112634696639516	0.20867443442017397	0.30179981482199336
