#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:M_Clade1-4" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:M_Clade1-4" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:M_Clade1-4" name="popSize" spec="beast.core.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:M_Clade1-4" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:M_Clade1-4" spec="beast.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.M_Clade1-4" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="FrequenciesPrior.s:M_Clade1-4" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:M_Clade1-4" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.6" name="distr"/>
#        </prior>
#        <prior id="KappaPrior.s:M_Clade1-4" name="distribution">
#            <parameter id="kappa.s:M_Clade1-4" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.3" name="distr">
#                <parameter estimate="false" id="RealParameter.7" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.8" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:M_Clade1-4" name="distribution" x="@popSize.t:M_Clade1-4">
#            <OneOnX id="OneOnX.4" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@M_Clade1-4" id="treeLikelihood.M_Clade1-4" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:M_Clade1-4">
#            <siteModel id="SiteModel.s:M_Clade1-4" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:M_Clade1-4" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:M_Clade1-4" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:M_Clade1-4" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:M_Clade1-4" kappa="@kappa.s:M_Clade1-4" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:M_Clade1-4" id="estimatedFreqs.s:M_Clade1-4" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:M_Clade1-4" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:M_Clade1-4" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	popSize	CoalescentConstant	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	clockRate
60000	-9438.406883071411	-9589.967140572237	151.56025750082483	-9589.967140572237	0.030595108123680576	17.038072385769734	0.04186321389750024	153.44248319522393	0.30815713066476824	0.18493192022544075	0.21872265812699893	0.28818829098279225	1.0
64000	-9439.882237173651	-9590.749628010559	150.86739083690804	-9590.749628010559	0.03130829327010603	14.87933802230105	0.037743286034403065	152.35727000206495	0.29627700548384617	0.19681204540636282	0.22145517923660019	0.285455769873191	1.0
68000	-9429.313270462299	-9583.86328437712	154.55001391482057	-9583.86328437712	0.03164653873559533	18.450264684921642	0.04224364939191975	156.61648194592595	0.29627700548384617	0.19575406886331875	0.2173498382259949	0.29061908742684034	1.0
72000	-9451.01213459449	-9596.54678031117	145.5346457166803	-9596.54678031117	0.031887273880200025	18.450264684921642	0.03653017694485137	147.45579840014904	0.29627700548384617	0.19575406886331875	0.20577073635445545	0.3021981892983798	1.0
76000	-9446.50297864311	-9596.744216360556	150.24123771744516	-9596.744216360556	0.03132598385417182	18.450264684921642	0.03912254994690485	152.23095074202965	0.29831218549330885	0.20438189324514675	0.20954794484550443	0.2877579764160402	1.0
80000	-9438.061462016994	-9592.73145005267	154.66998803567526	-9592.73145005267	0.03126275079364098	15.609428307427866	0.042740014601778016	156.38494711158668	0.2955638916496057	0.19526987470600915	0.22140825722834512	0.2877579764160402	1.0
84000	-9438.52604630267	-9597.281771706934	158.7557254042636	-9597.281771706934	0.030872115972725676	15.725299237897724	0.0348997774938044	160.2837157170927	0.30339329043770763	0.195916323647693	0.22140825722834512	0.27928212868625446	1.0
88000	-9455.239121391729	-9598.394188796578	143.1550674048485	-9598.394188796578	0.03262566672467822	14.803812944300958	0.04466718350127466	144.80276108395026	0.3047280096415336	0.18548637435933554	0.21994181196597107	0.28984380403316	1.0
92000	-9432.975329474863	-9586.489920665841	153.5145911909785	-9586.489920665841	0.02811385243006831	15.130135524692239	0.034239157435932435	154.94202261857004	0.2902704779993844	0.19660799637340942	0.21994181196597107	0.2931797136612354	1.0
96000	-9428.045552962261	-9583.116813511147	155.07126054888678	-9583.116813511147	0.03153293048388746	14.544352512632434	0.04119497056169	156.6012692316949	0.3018121833032389	0.18575538567356445	0.21925271736196153	0.2931797136612354	1.0
100000	-9426.941178513403	-9581.686827517025	154.7456490036217	-9581.686827517025	0.03023444172868346	16.01603382971265	0.03818270082501583	156.40254795527161	0.3018121833032389	0.18575538567356445	0.21925271736196153	0.2931797136612354	1.0
104000	-9426.323929474625	-9588.213989879483	161.8900604048577	-9588.213989879483	0.029137324026300572	16.525742363326657	0.03700863081034694	163.58293245648383	0.30332982302794714	0.18575538567356445	0.22152020152174748	0.2893945897767412	1.0
108000	-9428.747844447778	-9588.097628868278	159.3497844205003	-9588.097628868278	0.03144332368840117	16.525742363326657	0.03839537283525075	161.07944227479084	0.30332982302794714	0.18644290251452145	0.22083268468079048	0.2893945897767412	1.0
112000	-9441.63686429625	-9586.483078578784	144.84621428253422	-9586.483078578784	0.030068072583715272	16.894230000228777	0.049589426995592524	146.87939558542624	0.3034074990961538	0.18644290251452145	0.20854386185733007	0.301605736531995	1.0
116000	-9429.984141979434	-9583.961646432523	153.9775044530885	-9583.961646432523	0.03136448808946781	13.540579333238995	0.042739176932156245	155.39767630697895	0.28968920355278865	0.20016119805788657	0.21791772673765603	0.29223187165166903	1.0
120000	-9426.055480840882	-9580.780878680811	154.72539783992852	-9580.780878680811	0.03285880607065677	15.21156033643364	0.03525894820540471	156.19345193231558	0.28975967102455397	0.19353321720284197	0.2178472592658907	0.2988598525067136	1.0
124000	-9425.152123515356	-9577.696975412657	152.5448518973009	-9577.696975412657	0.030034725005657265	16.356643299775335	0.042211677607208474	154.34713747364708	0.28975967102455397	0.19353321720284197	0.21483002628604958	0.30187708548655473	1.0
128000	-9434.330420200538	-9582.25094018437	147.9205199838323	-9582.25094018437	0.029729494698717964	16.356643299775335	0.05017674990468667	149.89566042696848	0.28566101577412145	0.2007039978622529	0.21483002628604958	0.29880496007757634	1.0
132000	-9419.91342624578	-9573.888037226805	153.97461098102582	-9573.888037226805	0.030205040757606334	13.596734661550455	0.03986989481061219	155.33368547175544	0.2862057157907947	0.2007039978622529	0.21483002628604958	0.2982602600609031	1.0
136000	-9419.773211566486	-9577.538339454683	157.7651278881975	-9577.538339454683	0.031241359566407004	13.596734661550455	0.03995798360154449	159.1264093479319	0.2862057157907947	0.2007039978622529	0.21483002628604958	0.2982602600609031	1.0
140000	-9424.154405646248	-9582.921877045843	158.76747139959465	-9582.921877045843	0.030916437089433854	13.596734661550455	0.04047440963004331	160.1415942806613	0.2997706775193835	0.18276687780975273	0.21920218460996085	0.2982602600609031	1.0
144000	-9432.95970095112	-9583.803687712305	150.84398676118553	-9583.803687712305	0.030567652061249766	13.596734661550455	0.03974042093430398	152.19980855810908	0.2997706775193835	0.18276687780975273	0.21920218460996085	0.2982602600609031	1.0
148000	-9425.028314383744	-9573.097660164829	148.06934578108397	-9573.097660164829	0.029595862460670426	13.596734661550455	0.04951684467698274	149.64511165692463	0.2997706775193835	0.18276687780975273	0.21920218460996085	0.2982602600609031	1.0
152000	-9424.070024717246	-9579.33033563546	155.26031091821457	-9579.33033563546	0.032020933244105425	13.596734661550455	0.04618749892234477	156.76647306123985	0.3055103860884029	0.18876835611369147	0.21871198996116936	0.2870092678367364	1.0
156000	-9432.620494550622	-9578.332276394789	145.71178184416755	-9578.332276394789	0.034079370285974624	13.733654399360756	0.04933567136090433	147.30425718134074	0.29104265809213814	0.18876835611369147	0.21871198996116936	0.30147699583300114	1.0
160000	-9416.607820444513	-9574.111622602359	157.50380215784622	-9574.111622602359	0.02999699392308362	15.645588239892211	0.04179419741350032	159.20128711520354	0.29739558310884345	0.1874999033802087	0.21779152069831548	0.29731299281263246	1.0
164000	-9419.832165232412	-9573.92689233956	154.09472710714755	-9573.92689233956	0.032619855229045286	16.55852977727376	0.03838520233075756	155.82839291740586	0.29658922684829064	0.18830625964076153	0.21779152069831548	0.29731299281263246	1.0
168000	-9432.700489702944	-9584.555983757473	151.85549405452895	-9584.555983757473	0.0324960840659689	13.709095242350296	0.040925785931952195	153.25743797959655	0.28798709401977934	0.1969083924692728	0.21779152069831548	0.29731299281263246	1.0
172000	-9427.145241098478	-9586.391924719677	159.2466836211994	-9586.391924719677	0.03196311679883004	15.507208435343777	0.04300397926349876	160.95389382172567	0.29548426154637547	0.18941122494267665	0.21779152069831548	0.29731299281263246	1.0
176000	-9423.806223605785	-9585.469305506886	161.6630819011	-9585.469305506886	0.028559613038706248	15.507208435343777	0.03688795782394175	163.2168846007521	0.30105156932232524	0.18941122494267665	0.2122242129223657	0.29731299281263246	1.0
180000	-9419.916090989713	-9572.506461159548	152.5903701698357	-9572.506461159548	0.030596072950366114	14.67451296493369	0.03830234627041399	154.06607207467823	0.30105156932232524	0.18941122494267665	0.2122242129223657	0.29731299281263246	1.0
184000	-9435.251499476735	-9584.98547771096	149.73397823422366	-9584.98547771096	0.03135997268763879	14.67451296493369	0.032163767187711745	151.03500956080373	0.306052963614297	0.18879298143292134	0.20784106214014925	0.29731299281263246	1.0
188000	-9428.55858539731	-9579.126883942432	150.56829854512145	-9579.126883942432	0.03403365952642924	13.902569667436135	0.04713620779452737	152.14011314127845	0.30098099461044936	0.20058162446078256	0.20784106214014925	0.2905963187886189	1.0
192000	-9419.367508386504	-9582.070936148617	162.70342776211405	-9582.070936148617	0.030163274149779054	14.740377635292335	0.03565186157500288	164.11673724051926	0.3028345862094427	0.19959591874301405	0.2088502691887904	0.2887192258587529	1.0
196000	-9423.330440477028	-9577.07521821385	153.7447777368216	-9577.07521821385	0.02868811608591148	16.374467045304957	0.04140586178984362	155.53012925519525	0.3028345862094427	0.19959591874301405	0.2088502691887904	0.2887192258587529	1.0
200000	-9431.340061968638	-9584.00905866207	152.66899669343204	-9584.00905866207	0.03297591162833645	14.107521362340494	0.0351858509615714	153.97840283018562	0.3028345862094427	0.18841107862112932	0.20923220759378344	0.2995221275756446	1.0
204000	-9418.687852222665	-9572.500262371781	153.81241014911595	-9572.500262371781	0.030243605300339857	17.48111843461565	0.040534682488948835	155.7184235315309	0.29853906256845614	0.19333478041098198	0.20923220759378344	0.2988939494267785	1.0
208000	-9429.359196380798	-9587.195067729594	157.83587134879522	-9587.195067729594	0.03165120431469361	14.199050287487722	0.038777213488743426	159.2557621401542	0.3056052360888994	0.19333478041098198	0.20923220759378344	0.29182777590633524	1.0
212000	-9419.281038839963	-9574.330239470059	155.04920063009584	-9574.330239470059	0.02893478759594496	14.680076271813617	0.03551061179748015	156.4500110720675	0.3056052360888994	0.19740408971295903	0.20923220759378344	0.2877584666043582	1.0
216000	-9428.12129313502	-9584.417670815843	156.29637768082375	-9584.417670815843	0.03127203140906418	13.39288907547874	0.04313722295240519	157.70362083403901	0.2988337275715725	0.19740408971295903	0.20836544124809545	0.2953967414673731	1.0
220000	-9426.646462020173	-9584.056146980041	157.40968495986823	-9584.056146980041	0.02744541745543707	15.014759249425417	0.042563307859663384	159.03869274129855	0.31410610066715616	0.19244865305003991	0.20836544124809545	0.28507980503470853	1.0
224000	-9417.12640303049	-9575.458604611938	158.33220158144857	-9575.458604611938	0.03025776233916826	15.387254991778844	0.03676873115869484	159.8663667627728	0.2992636031163729	0.18673562801647628	0.21407846628165908	0.2999223025854918	1.0
228000	-9419.8219272228	-9578.335290861836	158.51336363903576	-9578.335290861836	0.0316850249777784	13.614386162723084	0.0362447468141884	159.77974564786328	0.2992636031163729	0.18673562801647628	0.21407846628165908	0.2999223025854918	1.0
232000	-9423.530323585592	-9579.038842646869	155.50851906127684	-9579.038842646869	0.030422922569920297	17.331592528525267	0.034283479001488634	157.2282391835923	0.2992636031163729	0.18673562801647628	0.21407846628165908	0.2999223025854918	1.0
236000	-9415.374019045583	-9570.291185006634	154.91716596105195	-9570.291185006634	0.030487996449236457	14.44528959068554	0.040936620808555334	156.42672795446052	0.2946069481009618	0.19098164748127897	0.21448910183226758	0.2999223025854918	1.0
240000	-9420.517422005523	-9577.732395141898	157.2149731363745	-9577.732395141898	0.03585100161314021	14.108953629080558	0.033397791716042756	158.47243352847232	0.30306264414031014	0.1954018417496302	0.21448910183226758	0.28704641227779215	1.0
244000	-9430.58112467132	-9587.848831279678	157.26770660835786	-9587.848831279678	0.034370782011675184	14.108953629080558	0.04373105444848713	158.79473569678171	0.29464198255488366	0.1954018417496302	0.22290976341769406	0.28704641227779215	1.0
248000	-9421.318713097044	-9574.362392445828	153.04367934878456	-9574.362392445828	0.030900762798859355	14.108953629080558	0.04118298807483763	154.5106752196511	0.29464198255488366	0.1954018417496302	0.22290976341769406	0.28704641227779215	1.0
252000	-9422.519697718104	-9576.012694545729	153.49299682762555	-9576.012694545729	0.032624046105626886	13.440394711395921	0.038892663914329495	154.80381800029892	0.2928401357978607	0.20381726173845222	0.216296190185895	0.28704641227779215	1.0
256000	-9427.80233851172	-9582.342226418354	154.53988790663385	-9582.342226418354	0.031979588394494544	13.440394711395921	0.04455584445005336	155.98664676865417	0.2918905776795457	0.20058002818368056	0.21563703373493687	0.29189236040183697	1.0
260000	-9411.139438264869	-9568.299616160686	157.16017789581815	-9568.299616160686	0.029014255214327263	15.086032998203198	0.035977333500251944	158.63100488713854	0.2897029814974541	0.20058002818368056	0.21782462991702845	0.29189236040183697	1.0
264000	-9440.09376772784	-9592.908729332246	152.81496160440588	-9592.908729332246	0.028559947340078	15.086032998203198	0.040426868859201215	154.40239411523808	0.2897029814974541	0.21145290169238168	0.20695175640832736	0.29189236040183697	1.0
268000	-9434.553487817966	-9587.106951005237	152.55346318727092	-9587.106951005237	0.032498086686529835	17.372529823489835	0.038453126653961944	154.393117880389	0.2949459076659682	0.20113569658339525	0.2120260353487997	0.29189236040183697	1.0
272000	-9428.04892186415	-9584.079058537032	156.03013667288116	-9584.079058537032	0.03202319141154247	15.916930420689162	0.04486047533301346	157.83497000123447	0.29219348214871177	0.20113569658339525	0.21447441228208927	0.29219640898580385	1.0
276000	-9433.233267211344	-9587.376458570214	154.1431913588688	-9587.376458570214	0.030017409707261012	14.304942040110966	0.03301979951546476	155.4176655546355	0.3028092308286886	0.20113569658339525	0.21562133852402576	0.2804337340638905	1.0
280000	-9434.294299745294	-9589.0584192543	154.7641195090049	-9589.0584192543	0.029683896442788862	20.698868444702878	0.03935908621565257	157.02004288798304	0.3058057760505753	0.18503545464063426	0.21437351555388856	0.29478525375490205	1.0
284000	-9423.418025477462	-9584.949006209386	161.53098073192496	-9584.949006209386	0.031777929073723	16.553453776998392	0.03169557056974293	163.07249033565034	0.3058057760505753	0.19022433779116318	0.21437351555388856	0.28959637060437315	1.0
288000	-9425.30553923342	-9582.07538810349	156.76984887006972	-9582.07538810349	0.029514045411103935	16.553453776998392	0.043280501286579565	158.62288374921434	0.29511190914109064	0.18671387388231975	0.23006358631721463	0.2881106306593752	1.0
292000	-9419.844577106573	-9572.73314740206	152.8885702954875	-9572.73314740206	0.03078961616708622	14.475633302520771	0.03946721982182465	154.36592075964734	0.30492973751312147	0.18985459595125204	0.2202457579451838	0.2849699085904429	1.0
296000	-9432.424859266119	-9582.902871644654	150.4780123785354	-9582.902871644654	0.03302990940156761	14.475633302520771	0.04206146702062394	152.01902444215725	0.2984319361821119	0.19635239728226164	0.2202457579451838	0.2849699085904429	1.0
300000	-9427.207624448385	-9579.982228990568	152.77460454218357	-9579.982228990568	0.03274976005300887	15.166361976477237	0.040048151549970754	154.36376929145806	0.300061547888739	0.20138223990987708	0.2190756774475096	0.2794805347538745	1.0
304000	-9423.42932994047	-9583.826994214915	160.39766427444445	-9583.826994214915	0.03274027058295575	15.803639913514054	0.03819054823629014	162.02632210300752	0.300061547888739	0.20138223990987708	0.2190756774475096	0.2794805347538745	1.0
308000	-9421.310522202572	-9582.58980852738	161.2792863248096	-9582.58980852738	0.030733520145350034	15.006973701663389	0.0302129100459738	162.56448498364298	0.29965302596037174	0.200490541693594	0.20655150401359795	0.2933049283324366	1.0
