#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:L_Clade1-4" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:L_Clade1-4" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:L_Clade1-4" name="popSize" spec="beast.core.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:L_Clade1-4" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:L_Clade1-4" spec="beast.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.L_Clade1-4" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="FrequenciesPrior.s:L_Clade1-4" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:L_Clade1-4" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.3" name="distr"/>
#        </prior>
#        <prior id="KappaPrior.s:L_Clade1-4" name="distribution">
#            <parameter id="kappa.s:L_Clade1-4" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:L_Clade1-4" name="distribution" x="@popSize.t:L_Clade1-4">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@L_Clade1-4" id="treeLikelihood.L_Clade1-4" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:L_Clade1-4">
#            <siteModel id="SiteModel.s:L_Clade1-4" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:L_Clade1-4" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:L_Clade1-4" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:L_Clade1-4" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:L_Clade1-4" kappa="@kappa.s:L_Clade1-4" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:L_Clade1-4" id="estimatedFreqs.s:L_Clade1-4" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:L_Clade1-4" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:L_Clade1-4" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	popSize	CoalescentConstant	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	clockRate
0	-68747.78684341702	-68648.87268199059	-98.91416142643665	-68648.87268199059	1.7062087715886136	2.0	0.3	-98.25277419678831	0.25	0.25	0.25	0.25	1.0
6000	-16090.729099284032	-16234.179320603655	143.45022131962284	-16234.179320603655	0.033837388445888295	23.655415499354604	0.01796552819012127	145.23455683217114	0.25	0.24512714357290402	0.25077305598646016	0.25409980044063585	1.0
12000	-15938.234661719245	-16088.966332524573	150.73167080532824	-16088.966332524573	0.03335696286822534	23.63668937660206	0.015249308506115255	152.3501973302807	0.25440124706822526	0.2383175089723226	0.25581711860334605	0.2514641253561061	1.0
18000	-15911.547748004106	-16058.516491076847	146.96874307274098	-16058.516491076847	0.03365790423147317	23.04592017271766	0.014822513386366878	148.49874044930502	0.2634057181285954	0.23232260047834688	0.25531553883387104	0.24895614255918666	1.0
24000	-15909.55560639998	-16058.776038753418	149.2204323534391	-16058.776038753418	0.03332174825093291	23.04592017271766	0.0168302929478812	150.8774629446353	0.2634057181285954	0.22962058772445235	0.25801755158776557	0.24895614255918666	1.0
30000	-15867.6393195868	-16017.91865683244	150.2793372456404	-16017.91865683244	0.03549884110843255	21.111762451174325	0.014265432927435588	151.56591115647333	0.2653458437789183	0.21767018946803168	0.26254821148008584	0.2544357552729642	1.0
36000	-15814.22531937544	-15963.46390068962	149.23858131417902	-15963.46390068962	0.033458507585036844	20.61531706047134	0.014683063382426559	150.49917799947454	0.27329635581295875	0.20791966526997094	0.25475949395282355	0.26402448496424674	1.0
42000	-15806.539275127308	-15957.575811939872	151.03653681256438	-15957.575811939872	0.03167132789394994	27.839015544093098	0.014793360039639873	153.0234216367852	0.27329635581295875	0.20791966526997094	0.25131765168934805	0.26746632722772223	1.0
48000	-15745.808306263621	-15894.625310425883	148.8170041622625	-15894.625310425883	0.03292962940324544	21.77998371121481	0.014967209108282363	150.22395211191116	0.2882114151020798	0.16005701428234567	0.25041854220427273	0.3013130284113017	1.0
54000	-15693.628228019244	-15840.782734417566	147.15450639832113	-15840.782734417566	0.03389492635555334	23.335084188764032	0.015425761204534438	148.75397229940324	0.32548986754346004	0.16005701428234567	0.2131400897628925	0.3013130284113017	1.0
60000	-15698.928556817033	-15844.937888307093	146.0093314900603	-15844.937888307093	0.032643665505579275	32.32556685245867	0.01840978057739833	148.59395886997598	0.32548986754346004	0.1671301925363759	0.20606691150886228	0.3013130284113017	1.0
66000	-15682.378174892456	-15831.707456757982	149.32928186552672	-15831.707456757982	0.034328505822930615	28.56521822322027	0.017050473219156623	151.522471502237	0.32548986754346004	0.1671301925363759	0.20606691150886228	0.3013130284113017	1.0
72000	-15698.744941993398	-15845.178030478113	146.43308848471437	-15845.178030478113	0.03121636975873939	25.276406207608023	0.022373377961114445	148.59630292498255	0.31694707721755944	0.1671301925363759	0.20392949861234255	0.311993231633722	1.0
78000	-15697.77415849318	-15843.389590117675	145.6154316244965	-15843.389590117675	0.035181334844136575	21.60450424374508	0.01474708698251851	146.98872085272637	0.3154864071683029	0.1685908625856324	0.20392949861234255	0.311993231633722	1.0
84000	-15694.175100173066	-15842.166014350732	147.99091417766672	-15842.166014350732	0.034373589251151984	25.92327822267976	0.014331083608870225	149.7702251640941	0.3212302171880111	0.17093031502601033	0.19637115503051086	0.3114683127554676	1.0
