#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:2026-06-07_L_samples_PoW" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:2026-06-07_L_samples_PoW" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:2026-06-07_L_samples_PoW" name="popSize" spec="beast.core.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:2026-06-07_L_samples_PoW" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:2026-06-07_L_samples_PoW" spec="beast.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.2026-06-07_L_samples_PoW" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="FrequenciesPrior.s:2026-06-07_L_samples_PoW" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:2026-06-07_L_samples_PoW" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.3" name="distr"/>
#        </prior>
#        <prior id="KappaPrior.s:2026-06-07_L_samples_PoW" name="distribution">
#            <parameter id="kappa.s:2026-06-07_L_samples_PoW" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:2026-06-07_L_samples_PoW" name="distribution" x="@popSize.t:2026-06-07_L_samples_PoW">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@2026-06-07_L_samples_PoW" id="treeLikelihood.2026-06-07_L_samples_PoW" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:2026-06-07_L_samples_PoW">
#            <siteModel id="SiteModel.s:2026-06-07_L_samples_PoW" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:2026-06-07_L_samples_PoW" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:2026-06-07_L_samples_PoW" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:2026-06-07_L_samples_PoW" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:2026-06-07_L_samples_PoW" kappa="@kappa.s:2026-06-07_L_samples_PoW" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:2026-06-07_L_samples_PoW" id="estimatedFreqs.s:2026-06-07_L_samples_PoW" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:2026-06-07_L_samples_PoW" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:2026-06-07_L_samples_PoW" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	popSize	CoalescentConstant	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
34000	-16758.492288761285	-16898.442948072054	139.95065931076826	-16898.442948072054	0.034833693262866026	25.986794230694915	0.021167961921373178	142.12600927935625	0.2991646045791354	0.20468725676524735	0.20338160573106082	0.2927665329245565
36000	-16762.674565267003	-16903.742942852175	141.06837758517045	-16903.742942852175	0.03454552688930948	25.986794230694915	0.01812098713174477	143.08830952186474	0.2991646045791354	0.20468725676524735	0.20338160573106082	0.2927665329245565
38000	-16745.380885077542	-16885.66292944293	140.2820443653869	-16885.66292944293	0.03406638741323754	25.986794230694915	0.02449719576480608	142.6034641779013	0.2991646045791354	0.20089422853944694	0.20717463395686123	0.2927665329245565
40000	-16743.217980637302	-16884.861449282555	141.64346864525083	-16884.861449282555	0.033581551771670236	25.986794230694915	0.020468241362698498	143.7852042884156	0.2991646045791354	0.20089422853944694	0.20717463395686123	0.2927665329245565
42000	-16744.07227489976	-16886.003136255073	141.93086135531146	-16886.003136255073	0.03501658449112948	25.986794230694915	0.01821882238074715	143.95617777181948	0.2991646045791354	0.19247363499788092	0.20717463395686123	0.30118712646612256
44000	-16741.203750118442	-16883.31220261932	142.10845250087894	-16883.31220261932	0.03404496300113969	22.896335477924914	0.01999821108253333	143.92253898636562	0.2993106965698317	0.19247363499788092	0.20717463395686123	0.30104103447542624
46000	-16734.43863629904	-16874.82251676302	140.38388046397654	-16874.82251676302	0.03418008108134262	22.896335477924914	0.017424898591500183	142.0602242626997	0.30183734538004137	0.18863643100646207	0.1970524182576215	0.3124738053558752
48000	-16722.488312310124	-16861.042023218604	138.55371090848058	-16861.042023218604	0.03176838968591032	24.998151969437075	0.013147455731956704	140.15845407453412	0.3163515656005747	0.17412221078592877	0.1970524182576215	0.3124738053558752
50000	-16714.33170254455	-16856.803770619543	142.47206807499364	-16856.803770619543	0.03316727929534719	27.19054097392895	0.01925330304725228	144.66397269761552	0.3185671156932151	0.17080884306013475	0.1970524182576215	0.31357162298902885
52000	-16724.405781532892	-16862.99417584993	138.5883943170377	-16862.99417584993	0.03270856863427717	21.04048516133374	0.02802860977046138	140.54253973348165	0.3185671156932151	0.17080884306013475	0.1970524182576215	0.31357162298902885
54000	-16725.730944432	-16865.28972490308	139.5587804710766	-16865.28972490308	0.03289031260899208	21.04048516133374	0.023368477804575644	141.3310881333252	0.3185671156932151	0.17080884306013475	0.1970524182576215	0.31357162298902885
56000	-16723.15467698933	-16865.575380841077	142.42070385174824	-16865.575380841077	0.03361186229715683	21.04048516133374	0.021770185948601087	144.12216491887654	0.3185671156932151	0.17080884306013475	0.20193006103505687	0.30869398021159344
58000	-16724.460628351557	-16867.48103987363	143.02041152207386	-16867.48103987363	0.033520267242609945	20.89660711735875	0.016103907202257486	144.4045596501731	0.3185671156932151	0.17080884306013475	0.20193006103505687	0.30869398021159344
60000	-16721.696017624625	-16864.106631980325	142.41061435569895	-16864.106631980325	0.033424425223030525	27.190358670144374	0.017210913761746258	144.49036346275057	0.3185671156932151	0.17080884306013475	0.20193006103505687	0.30869398021159344
62000	-16732.449694869876	-16872.564270331943	140.11457546206645	-16872.564270331943	0.03328604178085555	34.288132990244165	0.018177231742855182	142.8399378180874	0.3185671156932151	0.17080884306013475	0.20193006103505687	0.30869398021159344
64000	-16718.51996874014	-16862.7322519238	144.21228318366028	-16862.7322519238	0.031664581913103354	17.50454011257893	0.019929311062538622	145.41126449424053	0.3185671156932151	0.17080884306013475	0.20193006103505687	0.30869398021159344
66000	-16721.05083906703	-16859.768805190637	138.7179661236062	-16859.768805190637	0.03447693714650865	29.201572869595548	0.018804398168518744	141.06442479467356	0.3185671156932151	0.17080884306013475	0.20193006103505687	0.30869398021159344
68000	-16722.61673596514	-16863.53437280545	140.9176368403082	-16863.53437280545	0.03344219312890049	29.201572869595548	0.021001351679601193	143.37459152511389	0.31871549279380273	0.17080884306013475	0.19742497172620013	0.3130506924198626
70000	-16727.522099850485	-16867.269427373267	139.74732752278322	-16867.269427373267	0.033577165989751766	24.318386966372472	0.019376671317973458	141.67343717086408	0.31871549279380273	0.17080884306013475	0.19742497172620013	0.3130506924198626
72000	-16718.24226601384	-16859.63358731241	141.39132129857222	-16859.63358731241	0.03311214467316754	24.318386966372472	0.02253186390836658	143.46829159464846	0.3208635275557237	0.17080884306013475	0.19742497172620013	0.3109026576579416
74000	-16720.079836749228	-16862.764781196274	142.68494444704515	-16862.764781196274	0.033406090884139115	24.318386966372472	0.020375248269129412	144.66130510607474	0.3208635275557237	0.15954929513843188	0.2067364334862301	0.31285074381961453
76000	-16730.826971645656	-16873.758252263633	142.9312806179785	-16873.758252263633	0.0330149721109883	24.318386966372472	0.016508492053754167	144.69719535140132	0.3256438525399684	0.1661919742814144	0.1953134293590029	0.31285074381961453
78000	-16729.012258603052	-16870.720962078867	141.70870347581644	-16870.720962078867	0.0346675910528286	24.318386966372472	0.022890547095605694	143.80146732555917	0.3124934655787951	0.1661919742814144	0.20846381632017624	0.31285074381961453
80000	-16725.943865576915	-16867.12101901845	141.17715344153515	-16867.12101901845	0.03292222139564014	24.318386966372472	0.01954916688665576	143.11212592755413	0.3124934655787951	0.16539306127749054	0.20926272932410012	0.31285074381961453
82000	-16730.152007460012	-16868.918484085058	138.76647662504465	-16868.918484085058	0.032466364269283454	24.318386966372472	0.016416115105200368	140.5267799207664	0.3124934655787951	0.16539306127749054	0.20926272932410012	0.31285074381961453
84000	-16724.175619723785	-16865.689132947045	141.51351322326246	-16865.689132947045	0.031179112757631394	24.318386966372472	0.019694450388933034	143.45588992816317	0.3124934655787951	0.16539306127749054	0.20926272932410012	0.31285074381961453
86000	-16725.084046212167	-16865.357339070077	140.27329285790887	-16865.357339070077	0.032366521669818266	24.318386966372472	0.020905096554752197	142.2753256564353	0.3124934655787951	0.16539306127749054	0.20926272932410012	0.31285074381961453
88000	-16725.281037412566	-16863.869125970494	138.58808855792876	-16863.869125970494	0.03423577295437917	24.318386966372472	0.02410924251359464	140.73272364668253	0.3124934655787951	0.16539306127749054	0.20725384317328346	0.31485962997043115
90000	-16725.89183453952	-16864.961350049118	139.06951550959525	-16864.961350049118	0.033131549959738514	24.318386966372472	0.024918568560664944	141.24716857546778	0.3124934655787951	0.16539306127749054	0.20725384317328346	0.31485962997043115
92000	-16723.36730835314	-16863.287228176654	139.9199198235132	-16863.287228176654	0.0328012399091126	24.318386966372472	0.016932707412095873	141.71120673988267	0.3124934655787951	0.16699494128007583	0.20725384317328346	0.31325774996784583
94000	-16722.147757424747	-16861.766422432673	139.61866500792547	-16861.766422432673	0.033347997178976546	24.318386966372472	0.023092515493660874	141.7202133833379	0.3124934655787951	0.16315835112775726	0.20725384317328346	0.3170943401201644
96000	-16731.283614940465	-16869.938989805098	138.65537486463262	-16869.938989805098	0.034684003063905934	22.708524909699435	0.020410572137094435	140.47042365822702	0.31842580011813104	0.1634328077916719	0.20104705197003292	0.3170943401201644
98000	-16722.051660028174	-16864.128284456096	142.0766244279228	-16864.128284456096	0.03382292588434865	22.708524909699435	0.019878480647729558	143.86525798503087	0.31842580011813104	0.1634328077916719	0.19956990885163306	0.31857148323856427
100000	-16720.776340165536	-16861.645666090662	140.86932592512767	-16861.645666090662	0.03211824178132773	22.708524909699435	0.020966695372281557	142.71125695424305	0.31842580011813104	0.1616753912917462	0.20132732535155876	0.31857148323856427
102000	-16712.107623911466	-16855.2247039341	143.1170800226316	-16855.2247039341	0.03232317319720163	22.708524909699435	0.0157457507300661	144.6726463415564	0.31842580011813104	0.1616753912917462	0.21249377552677579	0.30740503306334727
104000	-16731.029018395915	-16871.427990528297	140.39897213238015	-16871.427990528297	0.034420125569912426	22.708524909699435	0.01828018891380802	142.10378581777695	0.31842580011813104	0.1616753912917462	0.21249377552677579	0.30740503306334727
