#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:S_Clade1-4" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:S_Clade1-4" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:S_Clade1-4" name="popSize" spec="beast.core.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:S_Clade1-4" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:S_Clade1-4" spec="beast.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.S_Clade1-4" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="FrequenciesPrior.s:S_Clade1-4" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:S_Clade1-4" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.3" name="distr"/>
#        </prior>
#        <prior id="KappaPrior.s:S_Clade1-4" name="distribution">
#            <parameter id="kappa.s:S_Clade1-4" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:S_Clade1-4" name="distribution" x="@popSize.t:S_Clade1-4">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@S_Clade1-4" id="treeLikelihood.S_Clade1-4" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:S_Clade1-4">
#            <siteModel id="SiteModel.s:S_Clade1-4" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:S_Clade1-4" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:S_Clade1-4" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:S_Clade1-4" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:S_Clade1-4" kappa="@kappa.s:S_Clade1-4" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:S_Clade1-4" id="estimatedFreqs.s:S_Clade1-4" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:S_Clade1-4" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:S_Clade1-4" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	popSize	CoalescentConstant	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	clockRate
0	-17729.17378080079	-17579.4959589548	-149.67782184598866	-17579.4959589548	1.340836702504144	2.0	0.3	-149.0164346163403	0.25	0.25	0.25	0.25	1.0
3000	-5557.282220402505	-5636.238502819631	78.95628241712633	-5636.238502819631	0.04045396184932792	4.337043733576158	0.1150421410017994	79.47294683643082	0.25167326335888857	0.25	0.2483267366411114	0.25	1.0
6000	-4015.9724835866955	-4140.73578778621	124.76330419951404	-4140.73578778621	0.03779330509702333	8.0999342150236	0.04858025514838067	125.35419192680104	0.25167326335888857	0.25	0.2483267366411114	0.25	1.0
9000	-3808.030092233567	-3931.6070254918795	123.5769332583126	-3931.6070254918795	0.03461503764931583	19.90308864399991	0.054636934113218585	126.07119164796873	0.25088285936185983	0.2413143106710298	0.2483267366411114	0.25947609332599897	1.0
12000	-3688.108190341175	-3823.877652808013	135.7694624668379	-3823.877652808013	0.039493623000779736	25.71019227378589	0.042491050097824404	138.6154913397823	0.25088285936185983	0.2413143106710298	0.2483267366411114	0.25947609332599897	1.0
15000	-3656.195582337812	-3799.658183555226	143.46260121741386	-3799.658183555226	0.03642039232128716	31.985011564608065	0.039846500047016224	146.79204388078142	0.25867692958502103	0.2287654397352455	0.2402079771116191	0.2723496535681143	1.0
18000	-3648.073385217774	-3792.8454321272648	144.77204690949068	-3792.8454321272648	0.03914826889584319	22.923092336835364	0.038225812708033	147.23676279463766	0.26057802544262415	0.23290660856662077	0.2402079771116191	0.2663073888791359	1.0
21000	-3650.772362521353	-3790.003366724654	139.23100420330096	-3790.003366724654	0.04325245819648201	23.617582141559716	0.04131438772047596	141.84427949636702	0.26946489339665197	0.2163774702739946	0.24093971151724383	0.2732179248121095	1.0
24000	-3650.1470346872884	-3790.9670801252537	140.82004543796518	-3790.9670801252537	0.04761730670640243	35.26592579490984	0.04814275565547647	144.5933944407245	0.26946489339665197	0.2163774702739946	0.24093971151724383	0.2732179248121095	1.0
27000	-3634.8281620279813	-3779.462284236246	144.6341222082645	-3779.462284236246	0.04243344099082613	27.90520867511647	0.039104478925503915	147.59897832343137	0.26946489339665197	0.21690020144416688	0.23523840225267142	0.2783965029065096	1.0
30000	-3636.967087804029	-3781.31456131685	144.34747351282118	-3781.31456131685	0.03677344501505451	28.92316741379626	0.038482810565604	147.38594645205637	0.26946489339665197	0.21690020144416688	0.24245112870590965	0.2711837764532714	1.0
33000	-3639.7344965810207	-3780.871309641873	141.1368130608519	-3780.871309641873	0.03509338672862675	28.92316741379626	0.04132585570254462	144.24656268745852	0.2811419722955366	0.20640611298868808	0.24126813826250382	0.2711837764532714	1.0
36000	-3644.592504747909	-3788.934865779763	144.34236103185427	-3788.934865779763	0.0412992949155489	19.8652047615791	0.03516558048153315	146.39164545687035	0.2811419722955366	0.20640611298868808	0.2338998676426688	0.27855204707310643	1.0
39000	-3648.5390698542615	-3786.547951235554	138.0088813812926	-3786.547951235554	0.03546015733312373	19.8652047615791	0.051272757840361616	140.4352576041955	0.3058196865790192	0.20640611298868808	0.215494736751374	0.2722794636809186	1.0
42000	-3632.886625101025	-3778.0870405093374	145.20041540831255	-3778.0870405093374	0.03885847951502526	19.8652047615791	0.03680488459485213	147.295262626261	0.2895457253877904	0.20640611298868808	0.215494736751374	0.2885534248721474	1.0
45000	-3629.6932292104175	-3778.519596211003	148.8263670005854	-3778.519596211003	0.04221493304767913	20.17831720865944	0.037091669299465294	150.96460065897807	0.2842150916802014	0.21173674669627704	0.23163022329037733	0.2724179383331441	1.0
48000	-3637.212454997335	-3779.161789205918	141.94933420858294	-3779.161789205918	0.049980646394815725	30.83566896159134	0.03941548370742633	145.17399526278962	0.2842150916802014	0.21173674669627704	0.23163022329037733	0.2724179383331441	1.0
51000	-3628.2517284723417	-3770.5885675636027	142.3368390912612	-3770.5885675636027	0.04154786901963221	27.086196825288603	0.03934877594195457	145.2340190294547	0.2820748282584535	0.21173674669627704	0.23163022329037733	0.27455820175489204	1.0
