#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:2026-06-07_M_samples_PoW" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:2026-06-07_M_samples_PoW" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:2026-06-07_M_samples_PoW" name="popSize" spec="beast.core.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:2026-06-07_M_samples_PoW" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:2026-06-07_M_samples_PoW" spec="beast.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.2026-06-07_M_samples_PoW" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="FrequenciesPrior.s:2026-06-07_M_samples_PoW" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:2026-06-07_M_samples_PoW" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.3" name="distr"/>
#        </prior>
#        <prior id="KappaPrior.s:2026-06-07_M_samples_PoW" name="distribution">
#            <parameter id="kappa.s:2026-06-07_M_samples_PoW" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:2026-06-07_M_samples_PoW" name="distribution" x="@popSize.t:2026-06-07_M_samples_PoW">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@2026-06-07_M_samples_PoW" id="treeLikelihood.2026-06-07_M_samples_PoW" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:2026-06-07_M_samples_PoW">
#            <siteModel id="SiteModel.s:2026-06-07_M_samples_PoW" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:2026-06-07_M_samples_PoW" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:2026-06-07_M_samples_PoW" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:2026-06-07_M_samples_PoW" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:2026-06-07_M_samples_PoW" kappa="@kappa.s:2026-06-07_M_samples_PoW" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:2026-06-07_M_samples_PoW" id="estimatedFreqs.s:2026-06-07_M_samples_PoW" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:2026-06-07_M_samples_PoW" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:2026-06-07_M_samples_PoW" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	popSize	CoalescentConstant	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-48584.60652971202	-48428.71957199871	-155.88695771331797	-48428.71957199871	1.2819051722260357	2.0	0.3	-155.2255704836696	0.25	0.25	0.25	0.25
2000	-21752.743519637876	-21780.37418807531	27.630668437434565	-21780.37418807531	0.16073320727649368	2.0	0.24572317051489015	28.092478771597406	0.25	0.23538925870008864	0.2520276021147392	0.2625831391851721
4000	-16947.92823772132	-16993.070190026156	45.14195230483477	-16993.070190026156	0.0817603907044004	4.396094592795465	0.18683881510478062	46.161190248220095	0.24826850718365423	0.23875642127034144	0.24647641456596656	0.2664986569800377
6000	-14574.596195930917	-14639.719123726114	65.12292779519622	-14639.719123726114	0.10374807027615354	4.601553342268359	0.16070006331948994	66.05185717921061	0.2556224821201878	0.2314024463338079	0.24647641456596656	0.2664986569800377
8000	-12104.430214186648	-12201.37382031127	96.94360612462123	-12201.37382031127	0.0878227923949163	5.684494292579779	0.11909550011631323	97.86976511428551	0.2608351084801106	0.2261898199738851	0.24647641456596656	0.2664986569800377
10000	-11486.27392651508	-11604.595092857107	118.32116634202796	-11604.595092857107	0.0863809077439755	6.488926854211147	0.08962829683681316	119.16352349744616	0.2698682625079541	0.2261898199738851	0.2378755378911776	0.26606637962698315
12000	-11310.988760253062	-11438.341921343806	127.3531610907456	-11438.341921343806	0.09724872359554443	14.030634107310446	0.07117228509349813	129.35581171559392	0.2698682625079541	0.2261898199738851	0.2378755378911776	0.26606637962698315
14000	-11300.356080715266	-11428.819394557699	128.4633138424322	-11428.819394557699	0.09886959877633349	14.271408490191622	0.07041846142512827	130.49029665011366	0.2698682625079541	0.21619663953745227	0.24061393257808308	0.2733211653765105
16000	-11227.870435292954	-11351.610243092067	123.73980779911255	-11351.610243092067	0.09823074206467504	11.879122167856996	0.07169347953301627	125.41731144602812	0.2698682625079541	0.2230138840280211	0.22779183740692183	0.27932601605710294
18000	-11220.034265787437	-11343.332391998789	123.29812621135193	-11343.332391998789	0.08841160653744712	11.879122167856996	0.0707442525363556	124.96230135274767	0.2698682625079541	0.21908752125218578	0.23171820018275716	0.27932601605710294
20000	-11203.18061210023	-11331.993075606191	128.8124635059605	-11331.993075606191	0.09197526915792406	11.988600007168065	0.07177917280296474	130.50902119197372	0.287434054689502	0.21360595033172278	0.2285687188953684	0.2703912760834068
22000	-11203.021314871332	-11331.48138311693	128.46006824559882	-11331.48138311693	0.093397641537643	11.611134536783357	0.07631609932202041	130.15586778077787	0.287434054689502	0.21360595033172278	0.2261280374317884	0.2728319575469868
24000	-11193.07555946256	-11321.417488683268	128.34192922070795	-11321.417488683268	0.091484189120131	11.611134536783357	0.08080433833012843	130.09487549585566	0.2806910860331957	0.21360595033172278	0.22369635147804062	0.28200661215704087
26000	-11183.790934957586	-11311.92908360651	128.13814864892507	-11311.92908360651	0.08667998198845812	11.611134536783357	0.09495469171449869	130.05246411629503	0.28566088636271486	0.2061795530041681	0.22364241876082305	0.28451714187229393
28000	-11178.504949901344	-11305.628426301137	127.1234763997919	-11305.628426301137	0.08832296492157193	11.17982875295004	0.05869055839013584	128.48410053499254	0.2911511023912761	0.21395320261757733	0.21586876914741382	0.2790269258437327
30000	-11188.80432242579	-11313.157604148066	124.3532817222751	-11313.157604148066	0.1037697321564134	11.433625535254059	0.07752505054257798	126.03515248294894	0.29481949676374536	0.2103846965647203	0.2199389042648996	0.27485690240663463
32000	-11186.775024313296	-11312.903444040732	126.12841972743645	-11312.903444040732	0.09377469513304709	11.433625535254059	0.07087572884822088	127.72061741673983	0.2836379224841976	0.21300780376480472	0.21970863400580906	0.28364563974518847
34000	-11180.788521813294	-11307.101737296247	126.3132154829521	-11307.101737296247	0.0877783351408122	11.433625535254059	0.08358930742088018	128.0704007369341	0.2836379224841976	0.21300780376480472	0.21970863400580906	0.28364563974518847
36000	-11195.428341337827	-11318.169343583484	122.74100224565758	-11318.169343583484	0.09452901947064614	11.433625535254059	0.08277333346275723	124.48837783928347	0.2836379224841976	0.21300780376480472	0.21970863400580906	0.28364563974518847
38000	-11197.722963212764	-11323.863250814376	126.14028760161186	-11323.863250814376	0.08144764493382015	11.433625535254059	0.07412667222250541	127.777332661905	0.2836379224841976	0.20810541961289733	0.22461101815771645	0.28364563974518847
40000	-11192.025333370068	-11312.888505336783	120.86317196671547	-11312.888505336783	0.08813551143372889	11.67504521794008	0.0829391888979934	122.65279491446758	0.2836379224841976	0.20810541961289733	0.22461101815771645	0.28364563974518847
42000	-11173.88158424628	-11301.12401882563	127.24243457935054	-11301.12401882563	0.1000824332867913	11.67504521794008	0.06261182828845316	128.75090406226698	0.2836379224841976	0.19604934910482816	0.22461101815771645	0.29570171025325764
44000	-11173.690601028342	-11303.331265483052	129.64066445470965	-11303.331265483052	0.0967869248188752	11.67504521794008	0.06955752247978073	131.25433379890146	0.2836379224841976	0.19939230739856229	0.22126805986398232	0.29570171025325764
46000	-11197.281882036974	-11319.63153598906	122.3496539520853	-11319.63153598906	0.09631682335303132	11.67504521794008	0.0955405932194697	124.28072044151382	0.2814925594850079	0.201537670397752	0.22126805986398232	0.29570171025325764
48000	-11183.334946667432	-11303.90375359265	120.56880692521834	-11303.90375359265	0.10024040750618748	11.67504521794008	0.10064127289370091	122.55188463844482	0.2814925594850079	0.201537670397752	0.22126805986398232	0.29570171025325764
50000	-11177.387010633603	-11302.054354137943	124.66734350434001	-11302.054354137943	0.08519639136902751	11.67504521794008	0.06710890656453272	126.24517554755954	0.2814925594850079	0.201537670397752	0.22126805986398232	0.29570171025325764
